編輯	bem gef
變更	bemk vl
別人	bewf jnf
不能	bxf nlf
失敗	c bik
現在	cemk qik
相關	cet vxm
時間	cf gem
時候	cf hpk
是不是	ck bxf ck
是的	ck drd
審核	cnj hrf
狀態	gxtk tik
審核狀態	cnj hrf gxtk tik
審核列表	cnj hrf lewk bezj
商家	ct gea
上版	ctk bmj
上傳	ctk yxmf
需要	cu ezk
大意	dak ek
當然	dt jmf
對啊	dxqk a
應該	el vi
因為	en xqk
優惠	ep hxqk
優惠卷	ep hxqk gumk
覺得    guwf drf
感覺	vmj guwf
有的時候	epj dr cf hpk
有這感覺	epj grk vmj guwf
知道	g dzk
檢舉	gemj guj
建置	gemk gk
結果	gewf vxoj
帳號	gtk hzk
回覆	hxqf fxk
可以	krj ej
可能	krj nlf
留言	lepf emf
兩個	letj vrd
列表	lewk bezj
欄位	lmf xqk
沒變	mqf bemk
沒東西	mqf dxl ce
沒有	mqf epj
每天	mqj tem
矛盾	mzf dxnk
資料	q lezk
怎麼	qnj mrd
圖檔	txf dtj
原本	umf bnj
原則	umf qrf
請問	velj xnk
改變	vij bemk
參數	wm cxk
腦袋	nzj dik
吹毛求疵	yxq mzf vepf w
塵蟎	ynf mmf
殯葬	ben qtk
音樂    en uwk
